Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000025393,Atp5b,0.062133001853616206,2.042810365310288e-14,2.871228097193842e-12,9117,1.7447555133873232,968
ENSMUSG00000105906,Iglc1,0.06170155566693567,2.9531932455029164e-14,4.050289412696757e-12,5990,1.2080658689738522,900
ENSMUSG00000034868,Myl12b,0.06161476195668355,2.9753977059954195e-14,4.050289412696757e-12,4569,0.9551347753414837,866
ENSMUSG00000073411,H2-D1,0.061577717875738,3.419486915845482e-14,4.582642620243155e-12,6652,1.2082150898467425,931
ENSMUSG00000052397,Ezr,0.0614612188823408,3.774758283725532e-14,5.019847785311308e-12,6722,1.219288597272229,905
ENSMUSG00000020456,Ogdh,0.061446727014134644,3.197442310920451e-14,4.318545521186934e-12,2074,0.3542160524089495,681
ENSMUSG00000061048,Cdh3,0.061418571711228866,0.0,0.0,17,0.0012755569680471062,13
ENSMUSG00000090841,Myl6,0.06141239647949747,4.1744385725905886e-14,5.467249548708038e-12,19216,3.555502809707818,1084
ENSMUSG00000079737,3110001I22Rik,0.06134374699624417,0.0,0.0,19,0.0035837507926374896,18
ENSMUSG00000075334,Rprm,0.061246047928955646,0.0,0.0,5,0.0003463652497392464,4
ENSMUSG00000006143,Upk3bl,0.061029814415317456,0.0,0.0,3,0.0008656091110208863,3
ENSMUSG00000018770,Atp5g3,0.060889768595414916,5.928590951498336e-14,7.706276719511521e-12,4419,0.9737971028619009,851
ENSMUSG00000017697,Ada,0.06071547748192311,7.793765632868599e-14,9.907251489781789e-12,12097,2.3832526411168873,970
ENSMUSG00000032978,Guca2b,0.06070768439081347,6.039613253960852e-14,7.792002532423522e-12,3548,0.7307164252408481,799
ENSMUSG00000032080,Apoa4,0.060515253016008956,8.926193117986259e-14,1.1263943549178573e-11,7289,1.1286936595099029,869
ENSMUSG00000029994,Anxa4,0.059300066736125936,2.582378755278114e-13,3.2350843421194234e-11,4554,0.8932279513957528,855
ENSMUSG00000031972,Acta1,0.05907006568789929,2.604583215770617e-13,3.239426952103772e-11,1764,0.28207052110005976,613
ENSMUSG00000023010,Tmbim6,0.05879258911330804,4.249933738265099e-13,5.248061033366217e-11,4905,0.8754144447411235,870
ENSMUSG00000001270,Ckb,0.05836312838437436,5.575540029667536e-13,6.788023664288194e-11,3201,0.5222160815899983,711
ENSMUSG00000060208,Defa17,0.05828656180556051,6.836753385641714e-13,8.265300176991185e-11,6418,1.2500364462019393,917
ENSMUSG00000016356,Col20a1,0.05827619653918289,4.085620730620576e-14,5.391771846638818e-12,27,0.0034042386771078147,27
ENSMUSG00000036594,H2-Aa,0.058225664072556554,7.198686091669515e-13,8.642422580054346e-11,7400,1.4603863830612123,939
ENSMUSG00000022905,Kpna1,0.0579835643604754,8.881784197001252e-16,1.421743381460719e-13,219,0.04742574910259635,180
ENSMUSG00000063457,Rps15,0.05757228268149764,1.254774062431352e-12,1.4756825844430758e-10,7178,1.6695740745854597,937
ENSMUSG00000015405,Ace2,0.05756411731640334,1.2521095271722515e-12,1.4756825844430758e-10,5593,1.0125111328544751,870
ENSMUSG00000002985,Apoe,0.05733272008269292,1.5585310819687948e-12,1.8083144526896996e-10,4945,0.9191431905115969,859
ENSMUSG00000024610,Cd74,0.05719480056525061,1.8895995879120164e-12,2.1778265117215294e-10,18951,4.555202743382657,1120
ENSMUSG00000096215,Smim22,0.05703321850220956,2.0117241206207837e-12,2.303224277966365e-10,4118,0.8148906722230653,873
ENSMUSG00000034427,Myo15b,0.0564906608125911,3.282929483816588e-12,3.7094957461582467e-10,7070,1.4221275597065248,925
ENSMUSG00000001156,Mxd1,0.05643453974871357,3.4412472871281352e-12,3.863135266225403e-10,3202,0.47772817664482137,774
ENSMUSG00000097292,A230107N01Rik,0.056209399325010595,0.0,0.0,4,0.0005911491594489185,4
ENSMUSG00000029064,Gnb1,0.0560006609441122,4.527489494421388e-12,5.049757314810127e-10,3745,0.8604050190533844,827
ENSMUSG00000022890,Atp5j,0.05578620009867855,5.4356519285647664e-12,6.02381734237357e-10,3305,0.6159573989861027,781
ENSMUSG00000026421,Csrp1,0.055678252500957,5.5357940453859555e-12,6.095720220167669e-10,1850,0.2572051014136444,556
ENSMUSG00000024981,Acsl5,0.05558859006324663,6.77347067323808e-12,7.411377278413919e-10,2359,0.37088684017360896,729
ENSMUSG00000018217,Pmp22,0.05551019761871091,7.614353592089174e-12,8.279053138367147e-10,6010,1.0604976839588423,892
ENSMUSG00000026385,Dbi,0.05549161284458618,7.746914221229417e-12,8.370540816038386e-10,6896,1.4344967825650794,954
ENSMUSG00000064370,mt-Cytb,0.05515362425554523,1.02855501893373e-11,1.090899335418793e-09,9049,1.994565530388655,967
ENSMUSG00000019558,Slc6a8,0.05514382100956087,1.0015988038958312e-11,1.070004068887337e-09,2799,0.43605902018205517,761
ENSMUSG00000067288,Rps28,0.055081342468511194,1.0026646179994714e-11,1.070004068887337e-09,4256,0.825159282483148,836
ENSMUSG00000044734,Serpinb1a,0.05488321826308282,1.2606360400013727e-11,1.3208409611844686e-09,6657,1.4071433181660726,932
ENSMUSG00000035699,Slc51a,0.05431732003612412,2.0978552228712033e-11,2.158792922202224e-09,6992,1.485786141330567,958
ENSMUSG00000025428,Atp5a1,0.05431014965211201,2.116196107238011e-11,2.164780964611286e-09,7360,1.5307988311783254,955
ENSMUSG00000023938,Aars2,0.05420164913536438,9.350298313393068e-13,1.1148134982202714e-10,67,0.01009175650299355,59
ENSMUSG00000005683,Cs,0.054078515356430726,2.3244073332762127e-11,2.3637855280987745e-09,2943,0.519181131081648,762
ENSMUSG00000025362,Rps26,0.05359279206684051,3.689559768815798e-11,3.6658108783498565e-09,6707,1.4180335650581741,922
ENSMUSG00000029580,Actb,0.05353003952863496,4.233369210737692e-11,4.134829769222216e-09,54394,13.039200708011546,1272
ENSMUSG00000054999,Naaladl1,0.05347745417369547,3.991518227053348e-11,3.943163834817045e-09,3484,0.684164043286392,779
ENSMUSG00000029312,Klhl8,0.053451764840018345,6.550315845288424e-14,8.388285950618242e-12,11,0.0017699515671314194,11
ENSMUSG00000024388,Myo7b,0.05330106028598719,4.409250742298809e-11,4.25849870574647e-09,1721,0.28082744205900756,652
ENSMUSG00000047215,Rpl9,0.05312413001230707,3.465117082157576e-11,3.4627135327364265e-09,2297,0.5854906366207187,671
ENSMUSG00000028307,Aldob,0.05283394972374703,6.99948987659127e-11,6.722621165917215e-09,6457,1.2178561937694425,892
ENSMUSG00000064354,mt-Co2,0.052786572786466146,7.638112364816152e-11,7.2553673935682215e-09,13615,3.480921058506034,1092
ENSMUSG00000003814,Calr,0.052611428637425184,7.370126731132132e-11,7.03948900153659e-09,3679,0.8289015569009498,823
ENSMUSG00000016319,Slc25a5,0.0525440318829563,9.005707291009912e-11,8.461449328640182e-09,7086,1.503031221279654,945
ENSMUSG00000068587,Mgam,0.05251034460433329,8.934941675420305e-11,8.440834518287773e-09,4302,0.9848654061542985,877
ENSMUSG00000022108,Itm2b,0.052467016604003575,9.114553556344163e-11,8.517427128760967e-09,4128,0.7484731460938426,839
ENSMUSG00000035530,Eif1,0.05240142555308304,9.850231741381776e-11,9.15541969596818e-09,4104,0.7071202128119846,831
ENSMUSG00000040600,Eps8l3,0.05228195838507426,1.0202194644648444e-10,9.431847113191566e-09,2440,0.35324633314616255,693
ENSMUSG00000018293,Pfn1,0.05220367076639598,1.117066439348946e-10,1.0217907197600307e-08,3689,0.5795157267677928,780
ENSMUSG00000020839,Tmigd1,0.052185780509694565,1.1888956485961444e-10,1.0817698933121129e-08,6285,1.3753701665343776,935
ENSMUSG00000001349,Cnn1,0.052077230197922986,1.059876630904455e-10,9.746354890997988e-09,2704,0.5030144328931981,633
